Entire Dataset 690,AUC,Accuracy,Mean,165 Datasets (CBLANE),AUC,Accuracy
wgEncodeAwgTfbsSydhHek293Elk4UcdUniPk,0.9533093572,0.8824561238,0.9386169557,wgEncodeAwgTfbsBroadDnd41CtcfUniPk,0.9843218923,0.9410436153
wgEncodeAwgTfbsSydhHepg2Irf3IggrabUniPk,0.9336716533,0.8571428657,,wgEncodeAwgTfbsBroadDnd41Ezh239875UniPk,0.9310086966,0.8512230515
wgEncodeAwgTfbsHaibK562Bcl3Pcr1xUniPk,0.9310001135,0.8601823449,,wgEncodeAwgTfbsBroadGm12878CtcfUniPk,0.9566236138,0.8930444121
wgEncodeAwgTfbsSydhGm12878Brca1a300IggmusUniPk,0.8455806971,0.7763158083,,wgEncodeAwgTfbsBroadH1hescCtcfUniPk,0.9344903827,0.8596968055
wgEncodeAwgTfbsBroadH1hescJarid1aab26049UniPk,0.9595095515,0.9154929519,,wgEncodeAwgTfbsBroadHelas3CtcfUniPk,0.9836093187,0.9380853176
wgEncodeAwgTfbsBroadHsmmEzh239875UniPk,0.933005631,0.8501945734,,wgEncodeAwgTfbsBroadHelas3Ezh239875UniPk,0.9841490984,0.9381898642
wgEncodeAwgTfbsSydhK562Tr4UcdUniPk,0.8840392828,0.7954545617,,wgEncodeAwgTfbsBroadHelas3Pol2bUniPk,0.8206244111,0.7337662578
wgEncodeAwgTfbsSydhGm12878NfyaIggmusUniPk,0.8198649883,0.7483766079,,wgEncodeAwgTfbsBroadHepg2CtcfUniPk,0.977737546,0.9226533771
wgEncodeAwgTfbsUtaH1hescCmycUniPk,0.9092318416,0.8220973611,,wgEncodeAwgTfbsBroadHepg2Ezh239875UniPk,0.9899965525,0.9602272511
wgEncodeAwgTfbsHaibA549GrPcr1xDex500pmUniPk,0.9636576176,0.8865545988,,wgEncodeAwgTfbsBroadHmecCtcfUniPk,0.9852449894,0.947586298
wgEncodeAwgTfbsSydhK562Brf2UniPk,0.9524512887,0.8895463347,,wgEncodeAwgTfbsBroadHsmmCtcfUniPk,0.9672905207,0.900191009
wgEncodeAwgTfbsSydhNt2d1Znf274UcdUniPk,0.9835526347,0.8857142925,,wgEncodeAwgTfbsBroadHsmmEzh239875UniPk,0.9558826685,0.8872801661
wgEncodeAwgTfbsSydhHelas3Bdp1UniPk,0.8008903861,0.7202380896,,wgEncodeAwgTfbsBroadHsmmtCtcfUniPk,0.9735882282,0.9206731915
wgEncodeAwgTfbsSydhK562Tf3c110UniPk,0.8494688869,0.7669172883,,wgEncodeAwgTfbsBroadHuvecCtcfUniPk,0.8242297173,0.7072165012
wgEncodeAwgTfbsSydhK562Irf1Ifna30UniPk,0.9227361679,0.8423728943,,wgEncodeAwgTfbsBroadHuvecEzh239875UniPk,0.8970764279,0.8105041981
wgEncodeAwgTfbsHaibGm12878RxraPcr1xUniPk,0.7286768556,0.677685976,,wgEncodeAwgTfbsBroadHuvecPol2bUniPk,0.9711288214,0.9102166891
wgEncodeAwgTfbsSydhGm08714Znf274UcdUniPk,0.7535334229,0.6965517402,,wgEncodeAwgTfbsBroadK562CtcfUniPk,0.9767668843,0.9251682162
wgEncodeAwgTfbsBroadDnd41Ezh239875UniPk,0.8735550642,0.7987927794,,wgEncodeAwgTfbsBroadK562Ezh239875UniPk,0.9612042904,0.8931361437
wgEncodeAwgTfbsSydhK562Bdp1UniPk,0.9316828847,0.8504273295,,wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk,0.9892482162,0.9526884556
wgEncodeAwgTfbsSydhHepg2Hsf1ForsklnUniPk,0.9012380242,0.8590909243,,wgEncodeAwgTfbsBroadK562Hdac6a301341aUniPk,0.9319248796,0.8551775813
wgEncodeAwgTfbsSydhHepg2Znf274UcdUniPk,0.9215857387,0.8429054022,,wgEncodeAwgTfbsBroadNhaCtcfUniPk,0.9833928943,0.9386028647
wgEncodeAwgTfbsBroadHelas3Ezh239875UniPk,0.9627317786,0.9003689885,,wgEncodeAwgTfbsBroadNhdfadCtcfUniPk,0.9241097569,0.8413396478
wgEncodeAwgTfbsSydhGm12878Pol3UniPk,0.9566023946,0.8910568953,,wgEncodeAwgTfbsBroadNhekCtcfUniPk,0.9690095186,0.9029227495
wgEncodeAwgTfbsSydhHelas3Brf2UniPk,0.9485336542,0.9047619104,,wgEncodeAwgTfbsBroadNhekPol2bUniPk,0.9129888415,0.8316188455
wgEncodeAwgTfbsSydhHepg2Grp20ForsklnUniPk,0.9041003585,0.8237037063,,wgEncodeAwgTfbsBroadNhlfCtcfUniPk,0.949215889,0.8778904676
wgEncodeAwgTfbsHaibH1hescFosl1sc183V0416102UniPk,0.8869696856,0.8051576018,,wgEncodeAwgTfbsBroadOsteoblCtcfUniPk,0.9722523689,0.9158266187
wgEncodeAwgTfbsSydhH1hescRfx5200401194IggrabUniPk,0.9764494896,0.9361413121,,wgEncodeAwgTfbsHaibA549Elf1V0422111Etoh02UniPk,0.9898700714,0.9591658711
wgEncodeAwgTfbsSydhK562Brf1UniPk,0.943964541,0.8696398139,,wgEncodeAwgTfbsHaibA549Fosl2V0422111Etoh02UniPk,0.8280597925,0.750954926
wgEncodeAwgTfbsSydhK562Rpc155UniPk,0.976249814,0.9436241388,,wgEncodeAwgTfbsHaibA549Foxa1V0416102Dex100nmUniPk,0.9839931726,0.9455013871
wgEncodeAwgTfbsSydhK562NelfeUniPk,0.9651988745,0.9239130616,,wgEncodeAwgTfbsHaibA549GabpV0422111Etoh02UniPk,0.9865779281,0.9485490918
